Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Staatsbibliothek zu Berlin - PK	QGJ.v1.Org.01992	https://undusting.org/jewish_sources/s/jewish_sources/item/18329	Staatsbibliothek zu Berlin - PK				1913|1914|1915|1916|1917|1918|1919|1920|1921|1922	QGJ.v1.A0105.I0317.E01967|QGJ.v1.A0105.I0317.E01968|QGJ.v1.A0105.I0318.E01969|QGJ.v1.A0105.I0318.E01970|QGJ.v1.A0105.I0318.E01971|QGJ.v1.A0105.I0318.E01972|QGJ.v1.A0105.I0319.E01973|QGJ.v1.A0105.I0320.E01974|QGJ.v1.A0105.I0321.E01975|QGJ.v1.A0105.I0322.E01976		organizations		Staatsbibliothek zu Berlin - PK 1913-1922
Staatszionistische Organisation, Ortsgruppe Leipzig	QGJ.v1.Org.01993	https://undusting.org/jewish_sources/s/jewish_sources/item/18330	Staatszionistische Organisation, Ortsgruppe Leipzig				2984/3	QGJ.v1.A0173.I0540.E03057		organizations		Staatszionistische Organisation, Ortsgruppe Leipzig 2984/3
Stadtverordnetenversammlung zu Berlin	QGJ.v1.Org.01994	https://undusting.org/jewish_sources/s/jewish_sources/item/18331	Stadtverordnetenversammlung zu Berlin				2083|2086	QGJ.v1.A0108.I0332.E02137|QGJ.v1.A0108.I0332.E02140		organizations		Stadtverordnetenversammlung zu Berlin 2083,2086
Städtisches Krankenhaus Gera	QGJ.v1.Org.01995	https://undusting.org/jewish_sources/s/jewish_sources/item/18332	Städtisches Krankenhaus Gera				7358	QGJ.v1.A0255.I0891.E07451		organizations		Städtisches Krankenhaus Gera 7358
Städtisches Theater Chemnitz	QGJ.v1.Org.01996	https://undusting.org/jewish_sources/s/jewish_sources/item/18333	Städtisches Theater Chemnitz				3155	QGJ.v1.A0183.I0583.E03232		organizations		Städtisches Theater Chemnitz 3155
Ständige Kommission der Lutherischen EuropäischenKommission für Kirche und Judentum	QGJ.v1.Org.01997	https://undusting.org/jewish_sources/s/jewish_sources/item/18334	Ständige Kommission der Lutherischen EuropäischenKommission für Kirche und Judentum				143	QGJ.v1.A0005.I0044.E00169		organizations		Ständige Kommission der Lutherischen EuropäischenKommission für Kirche und Judentum 143
Stahlhelm	QGJ.v1.Org.01998	https://undusting.org/jewish_sources/s/jewish_sources/item/18335	Stahlhelm				1/2|1/6	QGJ.v1.A0000.E00002|QGJ.v1.A0000.E00006		organizations		Stahlhelm 1/2,1/6
Stern (Fa.), Chemnitz	QGJ.v1.Org.01999	https://undusting.org/jewish_sources/s/jewish_sources/item/18336	Stern (Fa.), Chemnitz				3168	QGJ.v1.A0183.I0583.E03245		organizations		Stern (Fa.), Chemnitz 3168
Sternberg-Zentrum für Judaismus, London	QGJ.v1.Org.02000	https://undusting.org/jewish_sources/s/jewish_sources/item/18337	Sternberg-Zentrum für Judaismus, London				10	QGJ.v1.A0003.I0029.E00032		organizations		Sternberg-Zentrum für Judaismus, London 10
Stiftungen:	QGJ.v1.Org.02001	https://undusting.org/jewish_sources/s/jewish_sources/item/18338	Stiftungen:							organizations		Stiftungen:
Stiftungen|Philipp Aron	QGJ.v1.Org.02002	https://undusting.org/jewish_sources/s/jewish_sources/item/18339	Stiftungen|Philipp Aron				3231	QGJ.v1.A0185.I0588.E03308		organizations		- Philipp j4ron 3231
Stiftungen|Rabbiner Dr. B. H. Auerbach	QGJ.v1.Org.02003	https://undusting.org/jewish_sources/s/jewish_sources/item/18340	Stiftungen|Rabbiner Dr. B. H. Auerbach				2338	QGJ.v1.A0131.I0386.E02405		organizations		- Rabbiner Dr. B. H. Auerbach 2338
Stiftungen|Marcus Nathan Betts	QGJ.v1.Org.02004	https://undusting.org/jewish_sources/s/jewish_sources/item/18341	Stiftungen|Marcus Nathan Betts				3233	QGJ.v1.A0185.I0588.E03310		organizations		- Marcus Nathan Betts 3233
Stiftungen|Geheimrat Bing	QGJ.v1.Org.02005	https://undusting.org/jewish_sources/s/jewish_sources/item/18342	Stiftungen|Geheimrat Bing				4521	QGJ.v1.A0210.I0681.E04598		organizations		- Geheimrat Bing 4521
Stiftungen|David und Emilie Calm	QGJ.v1.Org.02006	https://undusting.org/jewish_sources/s/jewish_sources/item/18343	Stiftungen|David und Emilie Calm				2169|2170	QGJ.v1.A0116.I0346.E02236|QGJ.v1.A0116.I0346.E02237		organizations		- David und Emilie Calm 2169,2170
Stiftungen|Kommerzienrat Emil Calm und Siegfried Siegheim	QGJ.v1.Org.02007	https://undusting.org/jewish_sources/s/jewish_sources/item/18344	Stiftungen|Kommerzienrat Emil Calm und Siegfried Siegheim				2177	QGJ.v1.A0116.I0346.E02244		organizations		- Kommerzienrat Emil Calm und Siegfried Siegheim 2177
Stiftungen|Jakob Emil Calm	QGJ.v1.Org.02008	https://undusting.org/jewish_sources/s/jewish_sources/item/18345	Stiftungen|Jakob Emil Calm				2164	QGJ.v1.A0116.I0346.E02231		organizations		-Jakob Emil Calm 2164
Stiftungen|Rentier David Cohn	QGJ.v1.Org.02009	https://undusting.org/jewish_sources/s/jewish_sources/item/18346	Stiftungen|Rentier David Cohn				1262	QGJ.v1.A0058.I0188.E01310		organizations		- Rentier David Cohn 1262
Stiftungen|Leopold (und Berta) Cohn	QGJ.v1.Org.02010	https://undusting.org/jewish_sources/s/jewish_sources/item/18347	Stiftungen|Leopold (und Berta) Cohn				3861|3863	QGJ.v1.A0191.I0621.E03938|QGJ.v1.A0191.I0621.E03940		organizations		- Leopold (und Berta) Cohn 3861, 3863
Stiftungen|Luise Cohn	QGJ.v1.Org.02011	https://undusting.org/jewish_sources/s/jewish_sources/item/18348	Stiftungen|Luise Cohn				2525	QGJ.v1.A0141.I0421.E02592		organizations		- Luise Cohn 2525
Stiftungen|Baron Moritz von Cohn	QGJ.v1.Org.02012	https://undusting.org/jewish_sources/s/jewish_sources/item/18349	Stiftungen|Baron Moritz von Cohn				2165	QGJ.v1.A0116.I0346.E02232		organizations		- Baron Moritz von Cohn 2165
Stiftungen|Salomon Cohn	QGJ.v1.Org.02013	https://undusting.org/jewish_sources/s/jewish_sources/item/18350	Stiftungen|Salomon Cohn				410	QGJ.v1.A0023.I0082.E00452		organizations		- Salomon Cohn 410
Stiftungen|Kaufmann Wilhelm Cohn	QGJ.v1.Org.02014	https://undusting.org/jewish_sources/s/jewish_sources/item/18351	Stiftungen|Kaufmann Wilhelm Cohn				1051	QGJ.v1.A0042.I0160.E01093		organizations		- Kaufmann Wilhelm Cohn 1051
Stiftungen|Israel Ehrenkranz	QGJ.v1.Org.02015	https://undusting.org/jewish_sources/s/jewish_sources/item/18352	Stiftungen|Israel Ehrenkranz				2335	QGJ.v1.A0131.I0386.E02402		organizations		- Israel Ehrenkranz 2335
Stiftungen|Benjamin Engel	QGJ.v1.Org.02016	https://undusting.org/jewish_sources/s/jewish_sources/item/18353	Stiftungen|Benjamin Engel				492	QGJ.v1.A0028.I0096.E00526		organizations		- Benjamin Engel 492
Stiftungen|Elias Fränckel	QGJ.v1.Org.02017	https://undusting.org/jewish_sources/s/jewish_sources/item/18354	Stiftungen|Elias Fränckel				2336	QGJ.v1.A0131.I0386.E02403		organizations		- Elias Fränckel 2336
Stiftungen|Schaye und Sara Frankel	QGJ.v1.Org.02018	https://undusting.org/jewish_sources/s/jewish_sources/item/18355	Stiftungen|Schaye und Sara Frankel				4288|4289	QGJ.v1.A0196.I0645.E04365|QGJ.v1.A0196.I0645.E04366		organizations		- Schaye und Sara Frankel 4288, 4289
Stiftungen|Geheimrat Friedländer	QGJ.v1.Org.02019	https://undusting.org/jewish_sources/s/jewish_sources/item/18356	Stiftungen|Geheimrat Friedländer				2122	QGJ.v1.A0109.I0337.E02175		organizations		- Geheimrat Friedländer 2122
Stiftungen|Moritz und Henriette Gottheiner	QGJ.v1.Org.02020	https://undusting.org/jewish_sources/s/jewish_sources/item/18357	Stiftungen|Moritz und Henriette Gottheiner				3860	QGJ.v1.A0191.I0621.E03937		organizations		- Moritz und Henriette Gottheiner 3860
Stiftungen|Caroline und Max Criinebaum	QGJ.v1.Org.02021	https://undusting.org/jewish_sources/s/jewish_sources/item/18358	Stiftungen|Caroline und Max Criinebaum				1261|1263	QGJ.v1.A0058.I0188.E01309|QGJ.v1.A0058.I0188.E01311		organizations		- Caroline und Max Criinebaum 1261,1263
Stiftungen|Lucie und Erich Grünebaum	QGJ.v1.Org.02022	https://undusting.org/jewish_sources/s/jewish_sources/item/18359	Stiftungen|Lucie und Erich Grünebaum				1261|1265	QGJ.v1.A0058.I0188.E01309|QGJ.v1.A0058.I0188.E01313		organizations		- Lucie und Erich Grünebaum 1261,1265
Stiftungen|Max Gumpel	QGJ.v1.Org.02023	https://undusting.org/jewish_sources/s/jewish_sources/item/18360	Stiftungen|Max Gumpel				2166|2167	QGJ.v1.A0116.I0346.E02233|QGJ.v1.A0116.I0346.E02234		organizations		- Max Gumpel2\b6,2167
Stiftungen|Guttenberg	QGJ.v1.Org.02024	https://undusting.org/jewish_sources/s/jewish_sources/item/18361	Stiftungen|Guttenberg				2168	QGJ.v1.A0116.I0346.E02235		organizations		- Guttenberg 2168
Stiftungen|Sally und Helene Heymann	QGJ.v1.Org.02025	https://undusting.org/jewish_sources/s/jewish_sources/item/18362	Stiftungen|Sally und Helene Heymann				3862	QGJ.v1.A0191.I0621.E03939		organizations		- Sally und Helene Heymann 3862
Stiftungen|Joseph Hirsch	QGJ.v1.Org.02026	https://undusting.org/jewish_sources/s/jewish_sources/item/18363	Stiftungen|Joseph Hirsch				2339	QGJ.v1.A0131.I0386.E02406		organizations		- Joseph Hirsch 2339
Stiftungen|Dr. Otto Hirsch	QGJ.v1.Org.02027	https://undusting.org/jewish_sources/s/jewish_sources/item/18364	Stiftungen|Dr. Otto Hirsch				1770	QGJ.v1.A0100.I0293.E01824		organizations		- Dr. Otto Hirsch 1770
Stiftungen|Gottfried Israel	QGJ.v1.Org.02028	https://undusting.org/jewish_sources/s/jewish_sources/item/18365	Stiftungen|Gottfried Israel				826|827	QGJ.v1.A0033.I0122.E00868|QGJ.v1.A0033.I0122.E00869		organizations		- Gottfried Israel 826, 827
Stiftungen|Prof. Dr. James Israel	QGJ.v1.Org.02029	https://undusting.org/jewish_sources/s/jewish_sources/item/18366	Stiftungen|Prof. Dr. James Israel				1771|1794	QGJ.v1.A0100.I0293.E01825|QGJ.v1.A0100.I0295.E01848		organizations		- Prof. Dr. James Israel 1771,1794
Stiftungen|Moses Lazarus Israel	QGJ.v1.Org.02030	https://undusting.org/jewish_sources/s/jewish_sources/item/18367	Stiftungen|Moses Lazarus Israel				828	QGJ.v1.A0033.I0122.E00870		organizations		- Moses Lazarus Israel 828
Stiftungen|Simon Jacoby	QGJ.v1.Org.02031	https://undusting.org/jewish_sources/s/jewish_sources/item/18368	Stiftungen|Simon Jacoby				414	QGJ.v1.A0023.I0082.E00456		organizations		- Simon Jacoby 414
Stiftungen|Kaiser Wilhelm und Kaiserin Auguste Viktoria	QGJ.v1.Org.02032	https://undusting.org/jewish_sources/s/jewish_sources/item/18369	Stiftungen|Kaiser Wilhelm und Kaiserin Auguste Viktoria				2321	QGJ.v1.A0131.I0384.E02388		organizations		- Kaiser Wilhelm und Kaiserin Auguste Viktoria 2321
Stiftungen|Ladewig	QGJ.v1.Org.02033	https://undusting.org/jewish_sources/s/jewish_sources/item/18370	Stiftungen|Ladewig				366	QGJ.v1.A0022.I0081.E00408		organizations		- Ladewig 366
Stiftungen|Nahida Lazarus	QGJ.v1.Org.02034	https://undusting.org/jewish_sources/s/jewish_sources/item/18371	Stiftungen|Nahida Lazarus				4629	QGJ.v1.A0222.I0705.E04706		organizations		- Nahida Lazarus 4629
Stiftungen|Behrend Lehmann	QGJ.v1.Org.02035	https://undusting.org/jewish_sources/s/jewish_sources/item/18372	Stiftungen|Behrend Lehmann				2340|2342	QGJ.v1.A0131.I0386.E02407|QGJ.v1.A0131.I0386.E02409		organizations		- Behrend Lehmann 2340, 2342
Stiftungen|Joseph Liebermann	QGJ.v1.Org.02036	https://undusting.org/jewish_sources/s/jewish_sources/item/18373	Stiftungen|Joseph Liebermann				2344|2346|2349	QGJ.v1.A0131.I0386.E02411|QGJ.v1.A0131.I0386.E02413|QGJ.v1.A0131.I0386.E02416		organizations		- Joseph Liebermann 2344,2346, 2349
Stiftungen|Lippmann	QGJ.v1.Org.02037	https://undusting.org/jewish_sources/s/jewish_sources/item/18374	Stiftungen|Lippmann				3232	QGJ.v1.A0185.I0588.E03309		organizations		- Lippmann 3232
Stiftungen|Lychenheim	QGJ.v1.Org.02038	https://undusting.org/jewish_sources/s/jewish_sources/item/18375	Stiftungen|Lychenheim				358	QGJ.v1.A0021.I0080.E00400		organizations		- Lychenheim 358
Stiftungen|Moritz Mannheimer	QGJ.v1.Org.02039	https://undusting.org/jewish_sources/s/jewish_sources/item/18376	Stiftungen|Moritz Mannheimer				2289|2291|2295|2297	QGJ.v1.A0130.I0382.E02356|QGJ.v1.A0130.I0382.E02358|QGJ.v1.A0130.I0382.E02362|QGJ.v1.A0130.I0382.E02364		organizations		- Moritz Mannheimer 2289, 2291, 2295,2297
Stiftungen|Moritz und Bertha Mannheimer	QGJ.v1.Org.02040	https://undusting.org/jewish_sources/s/jewish_sources/item/18377	Stiftungen|Moritz und Bertha Mannheimer				2692	QGJ.v1.A0152.I0455.E02759		organizations		- Moritz und Bertha Mannheimer 2692
Stiftungen|Mendelssohn	QGJ.v1.Org.02041	https://undusting.org/jewish_sources/s/jewish_sources/item/18378	Stiftungen|Mendelssohn				4239	QGJ.v1.A0196.I0643.E04316		organizations		-Mendelssohn 4239
Stiftungen|Henriette Mendelssohn	QGJ.v1.Org.02042	https://undusting.org/jewish_sources/s/jewish_sources/item/18379	Stiftungen|Henriette Mendelssohn				409	QGJ.v1.A0023.I0082.E00451		organizations		- Henriette Mendelssohn 409
Stiftungen|Moses Mendelssohn	QGJ.v1.Org.02043	https://undusting.org/jewish_sources/s/jewish_sources/item/18380	Stiftungen|Moses Mendelssohn				1799	QGJ.v1.A0100.I0297.E01855		organizations		- Moses Mendelssohn 1799
Stiftungen|Moses Meyer	QGJ.v1.Org.02044	https://undusting.org/jewish_sources/s/jewish_sources/item/18381	Stiftungen|Moses Meyer				3235	QGJ.v1.A0185.I0588.E03312		organizations		- Moses Meyer 3235
Stiftungen|(Max) Michaelis	QGJ.v1.Org.02045	https://undusting.org/jewish_sources/s/jewish_sources/item/18382	Stiftungen|(Max) Michaelis				7235|7236|7237|7238|7239|7240|7241|7242	QGJ.v1.A0251.I0883.E07328|QGJ.v1.A0251.I0883.E07329|QGJ.v1.A0251.I0883.E07330|QGJ.v1.A0251.I0883.E07331|QGJ.v1.A0251.I0883.E07332|QGJ.v1.A0251.I0883.E07333|QGJ.v1.A0251.I0883.E07334|QGJ.v1.A0251.I0883.E07335		organizations		- (Max) Michaelis 7235-7242
Stiftungen|Israel Nathan	QGJ.v1.Org.02046	https://undusting.org/jewish_sources/s/jewish_sources/item/18383	Stiftungen|Israel Nathan				248	QGJ.v1.A0016.I0070.E00290		organizations		- Israel Nathan 248
Stiftungen|Felix Oppenheimer	QGJ.v1.Org.02047	https://undusting.org/jewish_sources/s/jewish_sources/item/18384	Stiftungen|Felix Oppenheimer				4619	QGJ.v1.A0222.I0704.E04696		organizations		- Felix Oppenheimer 4619
Stiftungen|David Ortweiler	QGJ.v1.Org.02048	https://undusting.org/jewish_sources/s/jewish_sources/item/18385	Stiftungen|David Ortweiler				6993	QGJ.v1.A0239.I0849.E07074		organizations		- David Ortweiler 6993
Stiftungen|Rosenthal	QGJ.v1.Org.02049	https://undusting.org/jewish_sources/s/jewish_sources/item/18386	Stiftungen|Rosenthal				7485	QGJ.v1.A0262.I0900.E07578		organizations		- Rosenthal 7485
Stiftungen|Alexander und Sophie Sanders	QGJ.v1.Org.02050	https://undusting.org/jewish_sources/s/jewish_sources/item/18387	Stiftungen|Alexander und Sophie Sanders				412	QGJ.v1.A0023.I0082.E00454		organizations		- Alexander und Sophie Sanders 412
Stiftungen|Daniel Sanders	QGJ.v1.Org.02051	https://undusting.org/jewish_sources/s/jewish_sources/item/18388	Stiftungen|Daniel Sanders				379	QGJ.v1.A0023.I0082.E00421		organizations		- Daniel Sanders 379
Stiftungen|Hendel Sanders	QGJ.v1.Org.02052	https://undusting.org/jewish_sources/s/jewish_sources/item/18389	Stiftungen|Hendel Sanders				412	QGJ.v1.A0023.I0082.E00454		organizations		- Hendel Sanders 412
Stiftungen|Johanna Sanders	QGJ.v1.Org.02053	https://undusting.org/jewish_sources/s/jewish_sources/item/18390	Stiftungen|Johanna Sanders				413	QGJ.v1.A0023.I0082.E00455		organizations		-Johanna Sanders 413
Stiftungen|Simon Schocken	QGJ.v1.Org.02054	https://undusting.org/jewish_sources/s/jewish_sources/item/18391	Stiftungen|Simon Schocken				4588	QGJ.v1.A0216.I0698.E04665		organizations		- Simon Schocken 4588
Stiftungen|Dr. Paul Schottländer	QGJ.v1.Org.02055	https://undusting.org/jewish_sources/s/jewish_sources/item/18392	Stiftungen|Dr. Paul Schottländer				1029	QGJ.v1.A0041.I0154.E01076		organizations		- Dr. Paul Schottländer 1029
Stiftungen|Faibel und Laura Siegel	QGJ.v1.Org.02056	https://undusting.org/jewish_sources/s/jewish_sources/item/18393	Stiftungen|Faibel und Laura Siegel				7121	QGJ.v1.A0239.I0860.E07202		organizations		- Faibel und Laura Siegel 7121
Stiftungen|I d a Simon	QGJ.v1.Org.02057	https://undusting.org/jewish_sources/s/jewish_sources/item/18394	Stiftungen|I d a Simon				1751	QGJ.v1.A0100.I0291.E01805		organizations		- I d a Simon 1751
Stiftungen|Spiro	QGJ.v1.Org.02058	https://undusting.org/jewish_sources/s/jewish_sources/item/18395	Stiftungen|Spiro				4944	QGJ.v1.A0235.I0753.E05021		organizations		- Spiro 4944
Stiftungen|Valentin	QGJ.v1.Org.02059	https://undusting.org/jewish_sources/s/jewish_sources/item/18396	Stiftungen|Valentin				4403	QGJ.v1.A0201.I0661.E04482		organizations		- Valentin 4403
Stiftungen|Jacob und Alice Weismann	QGJ.v1.Org.02060	https://undusting.org/jewish_sources/s/jewish_sources/item/18397	Stiftungen|Jacob und Alice Weismann				1030	QGJ.v1.A0041.I0154.E01077		organizations		-Jacob und Alice Weismann 1030
"Stiftung „Neue Synagoge Berlin - Centrum Judaicum"""	QGJ.v1.Org.02061	https://undusting.org/jewish_sources/s/jewish_sources/item/18398	"Stiftung „Neue Synagoge Berlin - Centrum Judaicum"""				30|39|94/1|94/2|94/3|94/4|94/5|112|141|1113	QGJ.v1.A0003.I0033.E00052|QGJ.v1.A0003.I0035.E00061|QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0003.I0043.E00117|QGJ.v1.A0003.I0043.E00118|QGJ.v1.A0003.I0043.E00119|QGJ.v1.A0003.I0043.E00120|QGJ.v1.A0005.I0044.E00138|QGJ.v1.A0005.I0044.E00167|QGJ.v1.A0050.I0171.E01155		organizations		"Stiftung „Neue Synagoge Berlin - Centrum Judaicum"" 30,39,94/1-5,112, 141,1113"
Stiftung für jüdische Waisenkinder	QGJ.v1.Org.02062	https://undusting.org/jewish_sources/s/jewish_sources/item/18399	Stiftung für jüdische Waisenkinder				627	QGJ.v1.A0031.I0110.E00669		organizations		Stiftung für jüdische Waisenkinder 627
Franz Ströher (Fa.), Apolda	QGJ.v1.Org.02063	https://undusting.org/jewish_sources/s/jewish_sources/item/18400	Franz Ströher (Fa.), Apolda				7158	QGJ.v1.A0243.I0865.E07244		organizations		Franz Ströher (Fa.), Apolda 7158
Strumpf- und Spitzenfabrik De Jong und van Dam, Hengelo	QGJ.v1.Org.02064	https://undusting.org/jewish_sources/s/jewish_sources/item/18401	Strumpf- und Spitzenfabrik De Jong und van Dam, Hengelo				4366	QGJ.v1.A0199.I0654.E04443		organizations		Strumpf- und Spitzenfabrik De Jong und van Dam, Hengelo 4366
Suhrkamp-Verlag	QGJ.v1.Org.02065	https://undusting.org/jewish_sources/s/jewish_sources/item/18402	Suhrkamp-Verlag				2984/5	QGJ.v1.A0173.I0540.E03059		organizations		Suhrkamp-Verlag 2984/5
Superintendentur Beizig	QGJ.v1.Org.02066	https://undusting.org/jewish_sources/s/jewish_sources/item/18403	Superintendentur Beizig				1656|1657|1658|1659|1660|1661|1662|1663|1664|1665|1666|1667|1668|1669|1670|1671|1672|1673|1674|1675|1676|1677|1678|1679|1680|1681|1682|1683|1684|1685|1686|1687|1688|1689|1690|1691|1692|1693|1694|1695	QGJ.v1.A0088.I0260.E01704|QGJ.v1.A0088.I0260.E01705|QGJ.v1.A0088.I0260.E01706|QGJ.v1.A0088.I0260.E01707|QGJ.v1.A0088.I0260.E01708|QGJ.v1.A0088.I0260.E01709|QGJ.v1.A0089.I0261.E01710|QGJ.v1.A0089.I0261.E01711|QGJ.v1.A0089.I0262.E01712|QGJ.v1.A0089.I0263.E01713|QGJ.v1.A0089.I0264.E01714|QGJ.v1.A0089.I0265.E01715|QGJ.v1.A0089.I0265.E01716|QGJ.v1.A0089.I0265.E01717|QGJ.v1.A0089.I0265.E01718|QGJ.v1.A0089.I0265.E01719|QGJ.v1.A0089.I0265.E01720|QGJ.v1.A0089.I0266.E01721|QGJ.v1.A0089.I0267.E01722|QGJ.v1.A0089.I0268.E01723|QGJ.v1.A0089.I0269.E01724|QGJ.v1.A0089.I0270.E01725|QGJ.v1.A0089.I0273.E01729|QGJ.v1.A0089.I0273.E01730|QGJ.v1.A0089.I0274.E01731|QGJ.v1.A0089.I0274.E01732|QGJ.v1.A0089.I0275.E01733|QGJ.v1.A0089.I0276.E01734|QGJ.v1.A0089.I0271.E01726|QGJ.v1.A0089.I0272.E01727|QGJ.v1.A0089.I0272.E01728|QGJ.v1.A0089.I0277.E01735|QGJ.v1.A0089.I0278.E01736|QGJ.v1.A0089.I0278.E01737|QGJ.v1.A0089.I0278.E01738|QGJ.v1.A0089.I0278.E01739|QGJ.v1.A0089.I0278.E01740|QGJ.v1.A0089.I0279.E01741|QGJ.v1.A0089.I0280.E01742|QGJ.v1.A0089.I0281.E01743		organizations		Superintendentur Beizig 1656-1695
Superintendentur Kothen	QGJ.v1.Org.02067	https://undusting.org/jewish_sources/s/jewish_sources/item/18404	Superintendentur Kothen				2956	QGJ.v1.A0170.I0535.E03023		organizations		Superintendentur Kothen 2956
Supernationaler Arierbund zu Danzig	QGJ.v1.Org.02068	https://undusting.org/jewish_sources/s/jewish_sources/item/18405	Supernationaler Arierbund zu Danzig				2002	QGJ.v1.A0107.I0327.E02056		organizations		Supernationaler Arierbund zu Danzig 2002
Synagogen-Gemeinde-Verband des RegierungsbezirksOppeln	QGJ.v1.Org.02069	https://undusting.org/jewish_sources/s/jewish_sources/item/18406	Synagogen-Gemeinde-Verband des RegierungsbezirksOppeln				94/2	QGJ.v1.A0003.I0043.E00117		organizations		Synagogen-Gemeinde-Verband des RegierungsbezirksOppeln 94/2
Talmud Thora 2984, 3115,Technische Universität, Bergakademie Freiberg	QGJ.v1.Org.02070	https://undusting.org/jewish_sources/s/jewish_sources/item/18407	Talmud Thora 2984, 3115,Technische Universität, Bergakademie Freiberg				4668|4669|4670|4671|4672|4673|4674|4675|4676|4677|4678|4679|4680	QGJ.v1.A0225.I0718.E04745|QGJ.v1.A0225.I0718.E04746|QGJ.v1.A0225.I0718.E04747|QGJ.v1.A0225.I0718.E04748|QGJ.v1.A0225.I0718.E04749|QGJ.v1.A0225.I0718.E04750|QGJ.v1.A0225.I0718.E04751|QGJ.v1.A0225.I0718.E04752|QGJ.v1.A0225.I0718.E04753|QGJ.v1.A0225.I0718.E04754|QGJ.v1.A0225.I0718.E04755|QGJ.v1.A0225.I0718.E04756|QGJ.v1.A0225.I0718.E04757		organizations		Talmud Thora 2984, 3115,Technische Universität, Bergakademie Freiberg 4668- 4680
Technische Universität Dresden	QGJ.v1.Org.02071	https://undusting.org/jewish_sources/s/jewish_sources/item/18408	Technische Universität Dresden				4603|4604|4605|4606|4607	QGJ.v1.A0219.I0702.E04684|QGJ.v1.A0219.I0701.E04680|QGJ.v1.A0219.I0701.E04681|QGJ.v1.A0219.I0701.E04682|QGJ.v1.A0219.I0701.E04683		organizations		Technische Universität Dresden 4603-4607
Textilfabrikation und -konfektion Gebr. Wertheimer, Chemnitz	QGJ.v1.Org.02072	https://undusting.org/jewish_sources/s/jewish_sources/item/18409	Textilfabrikation und -konfektion Gebr. Wertheimer, Chemnitz				3141	QGJ.v1.A0183.I0579.E03218		organizations		Textilfabrikation und -konfektion Gebr. Wertheimer, Chemnitz 3141
Thüringer Exportbierbrauerei AG, Neustadt-Orla	QGJ.v1.Org.02073	https://undusting.org/jewish_sources/s/jewish_sources/item/18410	Thüringer Exportbierbrauerei AG, Neustadt-Orla				5206	QGJ.v1.A0235.I0769.E05283		organizations		Thüringer Exportbierbrauerei AG, Neustadt-Orla 5206
Thüringische Landeshypothekenbank	QGJ.v1.Org.02074	https://undusting.org/jewish_sources/s/jewish_sources/item/18411	Thüringische Landeshypothekenbank				5307	QGJ.v1.A0235.I0781.E05384		organizations		Thüringische Landeshypothekenbank 5307
Thüringischer Landesgemeindeverband	QGJ.v1.Org.02075	https://undusting.org/jewish_sources/s/jewish_sources/item/18412	Thüringischer Landesgemeindeverband				5103	QGJ.v1.A0235.I0762.E05180		organizations		Thüringischer Landesgemeindeverband 5103
Thüringische Staatsbank Weimar	QGJ.v1.Org.02076	https://undusting.org/jewish_sources/s/jewish_sources/item/18413	Thüringische Staatsbank Weimar				5306	QGJ.v1.A0235.I0780.E05383		organizations		Thüringische Staatsbank Weimar 5306
Thüringisches Kleiderwerk GmbH, Gotha	QGJ.v1.Org.02077	https://undusting.org/jewish_sources/s/jewish_sources/item/18414	Thüringisches Kleiderwerk GmbH, Gotha				5326	QGJ.v1.A0235.I0788.E05403		organizations		Thüringisches Kleiderwerk GmbH, Gotha 5326
Thüringisch-Sächsischer Geschichtsverein	QGJ.v1.Org.02078	https://undusting.org/jewish_sources/s/jewish_sources/item/18415	Thüringisch-Sächsischer Geschichtsverein				2925|2926	QGJ.v1.A0167.I0528.E02992|QGJ.v1.A0167.I0528.E02993		organizations		Thüringisch-Sächsischer Geschichtsverein 2925,2926
Tierärztliche Hochschule, Berlin	QGJ.v1.Org.02079	https://undusting.org/jewish_sources/s/jewish_sources/item/18416	Tierärztliche Hochschule, Berlin				1813	QGJ.v1.A0100.I0299.E01867		organizations		Tierärztliche Hochschule, Berlin 1813
Uetz, Heinrich, Greiz	QGJ.v1.Org.02080	https://undusting.org/jewish_sources/s/jewish_sources/item/18417	Uetz, Heinrich, Greiz				5501	QGJ.v1.A0238.I0824.E05582		organizations		Uetz, Heinrich, Greiz 5501
Unabhängige Jüdische Vereinigung	QGJ.v1.Org.02081	https://undusting.org/jewish_sources/s/jewish_sources/item/18418	Unabhängige Jüdische Vereinigung				1742/2	QGJ.v1.A0094.I0287.E01791		organizations		Unabhängige Jüdische Vereinigung 1742/2
Unitarian Service Comitee	QGJ.v1.Org.02082	https://undusting.org/jewish_sources/s/jewish_sources/item/18419	Unitarian Service Comitee				13	QGJ.v1.A0003.I0030.E00035		organizations		Unitarian Service Comitee 13
United Restitution Organization (URO)	QGJ.v1.Org.02083	https://undusting.org/jewish_sources/s/jewish_sources/item/18420	United Restitution Organization (URO)				2872	QGJ.v1.A0164.I0497.E02942		organizations		United Restitution Organization (URO) 2872
United States Holocaust Memorial Council	QGJ.v1.Org.02084	https://undusting.org/jewish_sources/s/jewish_sources/item/18421	United States Holocaust Memorial Council				11|96	QGJ.v1.A0003.I0029.E00033|QGJ.v1.A0005.I0044.E00122		organizations		United States Holocaust Memorial Council 11,96
