Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Bistum Erfurt	QGJ.v1.Org.01579	https://undusting.org/jewish_sources/s/jewish_sources/item/17916	Bistum Erfurt				8011	QGJ.v1.A0294.I0976.E08105		organizations		Bistum Erfurt 8011
Chaskel Blumenstein (Fa.), Gera	QGJ.v1.Org.01580	https://undusting.org/jewish_sources/s/jewish_sources/item/17917	Chaskel Blumenstein (Fa.), Gera				5489	QGJ.v1.A0238.I0823.E05570		organizations		Chaskel Blumenstein (Fa.), Gera 5489
Börsenverein der Deutschen Buchhändler zu Leipzig	QGJ.v1.Org.01581	https://undusting.org/jewish_sources/s/jewish_sources/item/17918	Börsenverein der Deutschen Buchhändler zu Leipzig				2984/5	QGJ.v1.A0173.I0540.E03059		organizations		Börsenverein der Deutschen Buchhändler zu Leipzig 2984/5
Leo Borenstein (Fa.), Gera	QGJ.v1.Org.01582	https://undusting.org/jewish_sources/s/jewish_sources/item/17919	Leo Borenstein (Fa.), Gera				5494	QGJ.v1.A0238.I0823.E05575		organizations		Leo Borenstein (Fa.), Gera 5494
Brandenburgische Heil- und Pflegeanstalt Wittstock	QGJ.v1.Org.01583	https://undusting.org/jewish_sources/s/jewish_sources/item/17920	Brandenburgische Heil- und Pflegeanstalt Wittstock				1571	QGJ.v1.A0076.I0238.E01619		organizations		Brandenburgische Heil- und Pflegeanstalt Wittstock 1571
Brüdervereinigung der Adolf Kraus-Loge	QGJ.v1.Org.01584	https://undusting.org/jewish_sources/s/jewish_sources/item/17921	Brüdervereinigung der Adolf Kraus-Loge				1380	QGJ.v1.A0064.I0200.E01428		organizations		Brüdervereinigung der Adolf Kraus-Loge 1380
Bruno Cassirer Verlagsbuchhandlung	QGJ.v1.Org.01585	https://undusting.org/jewish_sources/s/jewish_sources/item/17922	Bruno Cassirer Verlagsbuchhandlung				2984/5	QGJ.v1.A0173.I0540.E03059		organizations		Bruno Cassirer Verlagsbuchhandlung 2984/5
Büro Grüber (Hilfsstelle für nichtarische Christen)	QGJ.v1.Org.01586	https://undusting.org/jewish_sources/s/jewish_sources/item/17923	Büro Grüber (Hilfsstelle für nichtarische Christen)				4704	QGJ.v1.A0228.I0725.E04781		organizations		Büro Grüber (Hilfsstelle für nichtarische Christen) 4704
Bund der 48er, Berlin	QGJ.v1.Org.01587	https://undusting.org/jewish_sources/s/jewish_sources/item/17924	Bund der 48er, Berlin				2003	QGJ.v1.A0107.I0327.E02057		organizations		Bund der 48er, Berlin 2003
Bund der Evangelischen Kirchen in der DDR	QGJ.v1.Org.01588	https://undusting.org/jewish_sources/s/jewish_sources/item/17925	Bund der Evangelischen Kirchen in der DDR				155|156|157|158	QGJ.v1.A0006.I0049.E00181|QGJ.v1.A0006.I0049.E00182|QGJ.v1.A0006.I0050.E00183|QGJ.v1.A0006.I0050.E00184		organizations		Bund der Evangelischen Kirchen in der DDR 155-158
